Product Name,Type For,Image Name,Image Name,ActualName,BrandName,ProductDetails,Ingredients,ProductLink
Creme of Nature Professional Scalp Relief Shampoo (20 oz.),Curly,http://shop.naturallycurly.com/product_images/t/066/CON_Professional_Scalp_Relief_Shmp__48483.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/t/066/CON_Professional_Scalp_Relief_Shmp__48483.jpg,Professional Scalp Relief Shampoo (20 oz.),Creme of Nature,"<p><span><span>Creme of Nature Professional Scalp Relief Shampoo is formulated with Red Clover and Aloe to relieve dry and itchy scalp. It deeply cleanses the scalp and reduces flakiness while leaving hair soft and silky.</span>&nbsp;Great for relaxed, natural or weaved hair.</span></p> <ul> <li>Moisturizing Formula Guards against Dehydration</li> <li>Deeply Cleanses the Scalp &amp; Reduces Flakiness</li> <li>Great for Relaxed, Natural or Weaved Hair</li> <li>Relieves Dry Itchy Scalp</li> <li>Leaves Hair Soft and Silky</li> <li>Contains Red Clover and Aloe</li> </ul>",,/creme-of-nature-professional-scalp-relief-shampoo-20-oz/
Creme of Nature Professional Detangling and Conditioning Shampoo (32 oz.),All,http://shop.naturallycurly.com/product_images/z/772/CON_Professional_Detangle_Cond_Shmp_32oz__31902.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/z/772/CON_Professional_Detangle_Cond_Shmp_32oz__31902.jpg,Professional Detangling and Conditioning Shampoo (32 oz.),Creme of Nature,"<ul> <li>Great for hair that is relaxed, color-treated or thermally straightened</li> <li>Cleanses and conditions in one easy step</li> <li>Extraordinary natural ingredient blend</li> </ul> <p>Creme of Nature Professional Detangling Conditioning Shampoo is available in Regular or Extra Body Formula. This professional formula detangling/conditioning shampoo detangles and conditions in one easy step.Perfect for chemically treated or damaged hair or hair that is relaxed, color-treated or thermally straightened.</p> <p>An extraordinary natural ingredient blend cleanses and conditions in one easy step and is so rich, no other conditioning treatment is needed Leaves hair smooth and easy to comb. Takes snags and snarls out of wet combing.</p>",,/creme-of-nature-professional-detangling-and-conditioning-shampoo-32-oz/
Creme of Nature Professional Ultra Moisturizing Shampoo (32 oz.),All,http://shop.naturallycurly.com/product_images/b/565/CON_Professional_Ultra_Moist_Shmp_32oz__89187.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/b/565/CON_Professional_Ultra_Moist_Shmp_32oz__89187.jpg,Professional Ultra Moisturizing Shampoo (32 oz.),Creme of Nature,"<div class=""dyn-wrap""> <div class=""product-detail-tab-container sb-pdp-prddetl-tab ui-tabs ui-widget ui-widget-content ui-corner-all""> <div class=""product-tabs style-tabs""> <div id=""tab1"" class=""tab-content ui-tabs-panel ui-widget-content ui-corner-bottom""> <p>Creme of Nature Professional Ultra Moisturizing Shampoo formula contains an extraordinary natural ingredient blend to transform dry, brittle or color-treated hair into healthy hair. It gently and effectively cleanses then richly conditions and moisturizes. Creme of Nature Professional Ultra Moisturizing Shampoo leaves natural or relaxed hair shiny, smooth and soft.</p> <ul> <li>Great for dry brittle or color-treated hair</li> <li>Gently cleanses hair</li> <li>Restores moisture</li> <li>Improves texture</li> <li>Increases shine</li> </ul> </div> </div> </div> </div>",,/creme-of-nature-professional-ultra-moisturizing-shampoo-32-oz/
Creme of Nature Argan Oil Perfect Trio Kit,Straight,http://shop.naturallycurly.com/product_images/z/780/CON_Argan_Oil_Trio_Kit__60611.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/z/780/CON_Argan_Oil_Trio_Kit__60611.jpg,Argan Oil Perfect Trio Kit,Creme of Nature,"<p><span>CREME OF NATURE ARGAN OIL EXOTIC SHINE PERFECT TRIO KIT 3 PCS SET</span></p> <p><strong>STEP 1. Sulfate Free Moisture &amp; Shine Shampoo (Sample)</strong><br />&ndash; Gently cleanses hair without harsh, moisture stripping agents.</p> <p><strong>STEP 2. Perfect 7</strong><br />&ndash; Detangles &amp; Conditions<br />&ndash; Heat Protection<br />&ndash; Breakage Defense<br />&ndash; Controls Frizz<br />&ndash; Moisturizes Dry Hair<br />&ndash; Prevents Split Ends<br />&ndash; Adds Exotic Shine</p> <p><strong>STEP 3. Oil Treatment</strong><br />&ndash; Nutrient-rich oil maximizes hair strength and adds instant shine.<br />&ndash; Helps repair dry, damaged hair.</p> <p><strong>STEP 4. Perfect Edges</strong><br />&ndash; Controls and holds down edges to create sleek, smooth styles.<br />&ndash; Non-flaking<br />&ndash; Alcohol free</p>",,/creme-of-nature-argan-oil-perfect-trio-kit/
Creme Of Nature Argan Oil Black Perfect Edges (2.25 oz.),All,http://shop.naturallycurly.com/product_images/w/796/CON_Perfect_Edges-BLK__09314.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/w/796/CON_Perfect_Edges-BLK__09314.jpg,Argan Oil Black Perfect Edges (2.25 oz.),Creme of Nature,"<p><span>Smooth and style your hair with Creme of Nature Perfect Edges Styling Product. The non-stick and non-greasy formula gives you superior hold without hardening your hair. It is ideal to use for creating sleek and smooth styles, pony tails and sculpting. The Creme of Nature argan oil Perfect Edges is also non-sticky and non-greasy for easy application. Simply apply to the edges of the hair and smooth with fingers or a brush to create the desired style.</span></p> <ul> <li>Helps Cover Gray Roots Fills in Part Line Non-Flaking Perfect for Relaxed &amp; Natural Hair, Superior Hold without Hardening, Temporary Color, Alcohol-Free</li> <li>infused with Argan Oil that is perfect for covering gray roots and minimizing the appearance of thinning edges while creating sleek, smooth styles</li> </ul>",,/creme-of-nature-argan-oil-black-perfect-edges-2-25-oz/
Creme Of Nature Argan Oil Day & Night Hair & Scalp Conditioner Hair Dress (4.76 oz.),All,http://shop.naturallycurly.com/product_images/p/858/CON_Argan_Oil_Hair_Dress__90925.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/p/858/CON_Argan_Oil_Hair_Dress__90925.jpg,Argan Oil Day & Night Hair & Scalp Conditioner Hair Dress (4.76 oz.),Creme of Nature,"<p>Using Creme of Nature&reg; Day &amp; Night Hair &amp; Scalp Conditioner Hair Dress will give you long lasting Exotic Shine&trade;. Our Argan infused formula was created to replenish moisture and add Exotic Shine&trade; to dry, dull hair and scalp. Creme of Nature&reg; Day &amp; Night Hair &amp; Scalp Conditioner Hair Dress helps relieve tight scalps, softening and hydrating hair and scalp. Our conditioner is light weight and will not leave a build-up making it perfect for daily use.</p> <p>Using Creme of Nature&reg; Day &amp; Night Hair &amp; Scalp Conditioner Hair Dress will help improve overall manageability and softness of your hair. Great for all hair types, natural and relaxed.</p> <ul> <li>Improves manageability and softness</li> <li>Restores and moisturizes dry hair and scalp</li> <li>Gives long lasting Exotic Shine&trade;</li> </ul>",,/creme-of-nature-argan-oil-day-night-hair-scalp-conditioner-hair-dress-4-76-oz/
Creme of Nature Pure Honey Moisturizing Dry Defense Shampoo (12 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/m/220/creme_of_nature_pure_honey_sh__97795.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/m/220/creme_of_nature_pure_honey_sh__97795.jpg,Pure Honey Moisturizing Dry Defense Shampoo (12 oz.),Creme of Nature,"<p>The Creme of Nature Pure Honey Moisturizing Dry Defense Shampoo will Cleanse, detangle and restore moisture to create healthy-looking shiny hair.&nbsp;</p> <p><strong>PRODUCT BENEFITS</strong></p> <div class=""benefits""> <ul> <li>Cleanses Hair</li> <li>Helps Restore Moisture for Healthy-Looking Hair</li> <li>Detangles &amp; Softens</li> <li>Provides Healthy Shine</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*</p>",,/creme-of-nature-pure-honey-moisturizing-dry-defense-shampoo-12-oz/
Creme of Nature Pure Honey Moisture Replenish & Strength Hair Mask (11.5oz),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/e/965/creme_of_nature_pure_honey_mask__09317.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/e/965/creme_of_nature_pure_honey_mask__09317.jpg,Pure Honey Moisture Replenish & Strength Hair Mask (11.5oz),Creme of Nature,"<p>Replenish moisture, prevent breakage, and tame and control frizz with the Creme of Nature Pure Honey Moisture Replenish &amp; Strength Hair Mask infused with Pure Honey, Certified Natural Coconut Oil and Shea Butter.</p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>Replenishes Moisture</li> <li>Strengthens &amp; Helps to Prevent Breakage</li> <li>Super Slip Detangler</li> <li>Tames &amp; Controls Frizz</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*</p>",,/creme-of-nature-pure-honey-moisture-replenish-strength-hair-mask-11-5oz/
Creme of Nature Pure Honey Moisturizing Dry Defense Conditioner (12 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/x/484/creme_of_nature_pure_honey_conditioner__39877.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/x/484/creme_of_nature_pure_honey_conditioner__39877.jpg,Pure Honey Moisturizing Dry Defense Conditioner (12 oz.),Creme of Nature,"<p>Lock in moisture and control frizz with the Creme of Nature Pure Honey Moisturizing Dry Defense Conditioner. It is infused with Pure Honey, Certified Natural Coconut Oil and Shea Butter.</p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>Locks In Moisture</li> <li>Smoothes &amp; Softens</li> <li>Controls Frizz &amp; Untangles</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*</p>",,/creme-of-nature-pure-honey-moisturizing-dry-defense-conditioner-12-oz/
Creme of Nature Pure Honey Know Away Leave-In Detangler (8 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/x/481/creme_of_nature_pure_honey_detangler__07094.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/x/481/creme_of_nature_pure_honey_detangler__07094.jpg,Pure Honey Know Away Leave-In Detangler (8 oz.),Creme of Nature,"<p>Instantly detangle and remove knots with the Creme of Nature Pure Honey Knot Aware Leave-In Detangler. It is infused with Pure Honey, Certified Natural Coconut Oil and Shea Butter to restore moisture and repair split ends.</p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>Instantly Detangles</li> <li>Improves Manageability</li> <li>Helps Repair Split Ends &amp; Restores Moisture</li> <li>Smoothes the Cuticle and Removes Knots</li> </ul> </div> <p><strong>NO</strong>&nbsp;Mineral Oil*,&nbsp;<strong>NO</strong>&nbsp;Petrolatum*</p>",,/creme-of-nature-pure-honey-know-away-leave-in-detangler-8-oz/
Creme of Nature Pure Honey Texturizing Curl Setting Lotion (12 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/e/454/creme_of_nature_pure_honey_setting_lotion__81693.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/e/454/creme_of_nature_pure_honey_setting_lotion__81693.jpg,Pure Honey Texturizing Curl Setting Lotion (12 oz.),Creme of Nature,"<p>Get definition, body and Style with the Creme of Nature Texturizing Curl Setting Lotion for a lasting firm hold and silky smooth body.</p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>Lasting Firm Hold Without the Hard Crunchy Feel</li> <li>Adds Body</li> <li>Quick and Ready-to-Use</li> <li>Silky Smooth, Glossy Set</li> <li>Great for Flexi-Rods, Rod Sets &amp; Rollers Sets</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*</p>",,/creme-of-nature-pure-honey-texturizing-curl-setting-lotion-12-oz/
Creme of Nature Pure Honey Moisture Infusion Edge Control (2.25 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/e/771/creme_of_nature_pure_honey_edge_control__96587.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/e/771/creme_of_nature_pure_honey_edge_control__96587.jpg,Pure Honey Moisture Infusion Edge Control (2.25 oz.),Creme of Nature,"<p>Get sleek edges and 24-hour hold with the Creme of Nature Pure Honey Moisture Infusion Edge Control. Infused with Pure Honey, Certified Natural Coconut Oil and Shea Butter for long lasting hold.&nbsp;</p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>24-Hour Hold &amp; Control</li> <li>Brilliant &amp; Healthy Shine</li> <li>Anti-Frizz</li> <li>Non-Flaking, Non-Sticky, Non-Greasy</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*</p>",,/creme-of-nature-pure-honey-moisture-infusion-edge-control-2-25-oz/
Creme of Nature Pure Honey Moisture Whip Twisting Cream (11.5 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/g/981/creme_of_nature_pure_honey_twisting_cream__80897.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/g/981/creme_of_nature_pure_honey_twisting_cream__80897.jpg,Pure Honey Moisture Whip Twisting Cream (11.5 oz.),Creme of Nature,"<p><span>Define and elongate curls with Creme of Nature Pure Honey Moisture Whip Twisting Cream infused with Pure Honey, Certified Natural Coconut Oil and Shea Butter for long-lasting hold and shine.</span></p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>Defines &amp; Elongates Curls</li> <li>Provides Crunch-Free Soft &amp; Shiny Curls</li> <li>Long-Lasting Hold</li> <li>Non-Flaking, Non-Sticky, Non-Greasy</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*,&nbsp;<strong>NO</strong>&nbsp;Silicones*</p>",,/creme-of-nature-pure-honey-moisture-whip-twisting-cream-11-5-oz/
Creme of Nature Pure Honey Break Up Breakage Leave-In Conditioner (8 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/t/727/creme_of_nature_pure_honey_leave_in___88886.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/t/727/creme_of_nature_pure_honey_leave_in___88886.jpg,Pure Honey Break Up Breakage Leave-In Conditioner (8 oz.),Creme of Nature,"<p>Detangle with less breakage and moisturize dry hair with the Creme of Nature Pure Honey Break Up Breakage Leave-In Conditioner.</p> <div class=""benefits""><strong>PRODUCT BENEFITS</strong> <ul> <li>Moisturizes Dry Hair</li> <li>Helps Protect Against Breakage</li> <li>Helps Detangle with Less Breakage</li> </ul> </div> <p><strong>NO</strong>&nbsp;Sulfates*,&nbsp;<strong>NO</strong>&nbsp;Mineral Oil*</p>",,/creme-of-nature-pure-honey-break-up-breakage-leave-in-conditioner-8-oz/
Cricket Ultra Smooth Coconut Detangling Brush,"Curly, Coily",http://shop.naturallycurly.com/product_images/k/832/coconutbrushedit__16779.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/k/832/coconutbrushedit__16779.jpg,Ultra Smooth Coconut Detangling Brush,Cricket,"<p>The Ultra Smooth&trade; Coconut Detangling Brush is ideal for detangling all hair types, wet or dry. A special blend of Coconut Oil and Keratin Protein, replace tangles with smooth, manageable hair and luxurious shine. The perfect shower brush to massage the scalp and pull conditioner through hair!<br /><br /> *A blend of Coconut Oil and Keratin Protein infused plastic<br /> *Ergonomically designed<br /> *Helps rid tangled knots<br /> *Adds shine and smoothness<br /> *Reduces Frizz<br /> *Won&rsquo;t leave residue on hands</p>",,/cricket-ultra-smooth-coconut-detangling-brush/
Cricket Ultra Smooth Coconut Conditioning Comb,"Curly, Coily",http://shop.naturallycurly.com/product_images/f/851/cricketcondcomb__49171.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/f/851/cricketcondcomb__49171.jpg,Ultra Smooth Coconut Conditioning Comb,Cricket,"<p>Separates hair easily without combing out body. Designed for mid-length and thick hair. <br /><br /> *A blend of Coconut oil and Keratin protein infused plastic, glides through hair<br /> *Helps add shine and smoothness to hair<br /> *Reduces the appearance of frizz<br /> *Will not leave residue on hands</p>",,/cricket-ultra-smooth-coconut-conditioning-comb/
Cricket Ultra Smooth Coconut Dressing Comb,"Curly, Coily",http://shop.naturallycurly.com/product_images/n/132/cricketdress__60777.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/n/132/cricketdress__60777.jpg,Ultra Smooth Coconut Dressing Comb,Cricket,"<p>Best for everyday use &mdash; ideal for styling, cutting and daily grooming.<br /><br /> *A blend of Coconut oil and Keratin protein infused plastic, glides through hair<br /> *Helps add shine and smoothness to hair<br /> *Reduces the appearance of frizz<br /> *Will not leave residue on hands</p>",,/cricket-ultra-smooth-coconut-dressing-comb/
Cricket Ultra Smooth Coconut Pick Comb,"Curly, Coily",http://shop.naturallycurly.com/product_images/w/174/cricket-coconut-oil-pick__16900.jpg|Product Image URL: http://shop.naturallycurly.com/product_images/l/033/cricket-coconut-oil-pick-with-packaging__95384.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/w/174/cricket-coconut-oil-pick__16900.jpg|Product Image URL: http://shop.naturallycurly.com/product_images/l/033/cricket-coconut-oil-pick-with-packaging__95384.jpg,Ultra Smooth Coconut Pick Comb,Cricket,"<p>Lifts and adds volume without combing. Designed for curly or thick medium to long hair.<br /><br /> *A blend of Coconut oil and Keratin protein infused plastic, glides through hair<br /> *Helps add shine and smoothness to hair<br /> *Reduces the appearance of frizz<br /> *Will not leave residue on hands</p>",,/cricket-ultra-smooth-coconut-pick-comb/
Cricket Ultra Smooth Coconut Detangling Comb,"Curly, Coily",http://shop.naturallycurly.com/product_images/m/177/cricketdetcomb__23438.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/m/177/cricketdetcomb__23438.jpg,Ultra Smooth Coconut Detangling Comb,Cricket,"<p>Wonderful for detangling wet or dry hair. Designed for thick, long hair.<br /><br /> *A blend of Coconut oil and Keratin protein infused plastic, glides through hair<br /> *Helps add shine and smoothness to hair<br /> *Reduces the appearance of frizz<br /> *Will not leave residue on hands</p>",,/cricket-ultra-smooth-coconut-detangling-comb/
Curl Company Co Wash Conditioning Creme Cleanser (10 oz.),"Curly, Coily",http://shop.naturallycurly.com/product_images/y/787/curl-co-low-wash__07909.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/y/787/curl-co-low-wash__07909.jpg,Co Wash Conditioning Creme Cleanser (10 oz.),Curl Company,"<p>Curl Company Co Wash Cr&egrave;me Cleanser is a natural cr&egrave;me cleanser that will zap your hair frizz from existence. Clean your curls without stripping them of their natural oils. Don&rsquo;t be surprised if this doesn&rsquo;t lather, that&rsquo;s the point! This low-suds cleanser is meant to moisturize, hydrate, and smooth out your curls. Safe for color-treated and professionally smoothed hair, this co-wash will leave your hair clean, soft, and easy to manage.<br /><br /><strong>What it is:</strong> A gentle cleansing conditioner with natural ingredients.<br /><br /> <strong>What it does:</strong> Cleanses and hydrates hair without stripping natural moisture. <br /><br /> <strong>Key ingredients:</strong> Rejuvenating Thyme and purifying Witch Hazel. <br /><br /> <strong>NaturallyCurly Recommends:</strong> Use this as a replacement for your regular shampoo if your hair gets dry easily, is brittle, or just plain frizzy.</p>",,/curl-company-co-wash-conditioning-creme-cleanser-10-oz/
Curl Company Low Wash Sulfate Free Shampoo (10 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/j/718/curl-co-low-wash__27455.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/j/718/curl-co-low-wash__27455.jpg,Low Wash Sulfate Free Shampoo (10 oz.),Curl Company,"<p>Looking for a sulfate-free shampoo that can moisturize too? Then look no further! Curl Company Low Wash Sulfate Free Shampoo will help cleanse your hair and scalp without stripping your hair of natural moisture. Hair moisture will increase with daily use to enhance natural shine and frizz control. Because of its chemical properties, this shampoo is great for color treated or professionally smoothed hair.<br /><br /> <strong>What it is:</strong> A moisturizing, sulfate-free shampoo.<br /><br /> <strong>What it does:</strong> Cleanses hair without risk of over-drying from chemicals.<br /><br /> <strong>Key Ingredients:</strong> Moroccan Argan Oil. <br /><br /><strong> NaturallyCurly Recommends:</strong> Ideal for use on all hair types, but also helps maintain professionally treated hair.</p>",,/curl-company-low-wash-sulfate-free-shampoo-10-oz/
Curl Company Intense Moisturizer (10 oz.),All,http://shop.naturallycurly.com/product_images/f/749/curl-co-intense__50209.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/f/749/curl-co-intense__50209.jpg,Intense Moisturizer (10 oz.),Curl Company,"<p>Curl Company Intense Moisturizer is the hydrating treatment you&rsquo;ve been looking for! This intense moisturizer will bring your curls back to life after coloring and chemical treatments. Soften and polish your curls with this great smelling moisturizer to have a great hair day every day.<br /><br /><strong> What it is:</strong> A deep conditioner.<br /><br /> <strong>What it does:</strong> Rehydrates hair that has been treated with chemicals or is lacking moisture and shine.<br /><br /><strong> Key Ingredients:</strong> Anti-frizz agents, Mango and Shea Butters, Moroccan, and Argan and Avocado Oils.<br /><br /> <strong>NaturallyCurly Recommends:</strong> If you're looking for more moisture, replace your daily conditioner with this ultra-moisturizing cream.</p>",,/curl-company-intense-moisturizer-10-oz/
Curl Company Primer Leave In (5 oz.),"Wavy, Curly, Coily",http://shop.naturallycurly.com/product_images/i/403/curl-co-primer__42714.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/i/403/curl-co-primer__42714.jpg,Primer Leave In (5 oz.),Curl Company,"<p>Get ready, set, and prime your curls with Curl Company Primer Leave In. Bring out the natural beauty of your hair and define, add shine, and soften your locks. This primer also includes sunscreen protection to preserve colored-treated hair. Guard your hair against damage from the sun or the pool and try out this leave in primer today!<br /><br /> <strong>What it is:</strong> A leave-in conditioning spray.<br /><br /> <strong>What it does:</strong> Protect, retexture, add shine, and defines curls.<br /><br /> <strong>Key Ingredients:</strong> Sunflower Extract and Sunscreen.<br /><br /> <strong>NaturallyCurly Recommends:</strong> Best for priming your hair for other styling products.</p>",,/curl-company-primer-leave-in-5-oz/
Curl Company Argan Curl Serum (2 oz.),Coily,http://shop.naturallycurly.com/product_images/y/404/curl-co-curl-serum__56307.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/y/404/curl-co-curl-serum__56307.jpg,Argan Curl Serum (2 oz.),Curl Company,"<p>Curl Company Curl System is the perfect finisher to any hairstyle. Ideal for dry or wet hair, pair this with Curl Company Keratin Emulsion for the ultimate hair restorative cocktail. Alone, it will add moisture, protect from heat, and leave a beautiful shine.<br /><br /><strong> What it is:</strong> An oil-based serum for curls.<br /><br /><strong> What it does:</strong> Protects, repairs, and smooths damaged or dry curls.<br /><br /> <strong>Key Ingredients:</strong> Argan Oil and Essential Oils.<br /><br /><strong> NaturallyCurly Recommends:</strong> Pair this with the Keratin Emulsion to really experience the full effect.</p>",,/curl-company-argan-curl-serum-2-oz/
Curl Company Beach Spray Curl Activation Mist (5 oz.),Curly,http://shop.naturallycurly.com/product_images/d/730/curl-co-beach__42654.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/d/730/curl-co-beach__42654.jpg,Beach Spray Curl Activation Mist (5 oz.),Curl Company,"<p>Activate your gorgeous waves or curls with Curl Company Beach Spray. Specially formulated to bring out texture in straight or wavy hair types, this spray will not only retexture but also prevent humidity from cramping your style. Try out this beach spray and transform your natural look today! <br /><br /><strong>What it is:</strong> A texturizing spray for activating waves and curls.<br /><br /> <strong>What it does:</strong> Enchances your natural curl or waves.<br /><br /><strong> Key ingredients:</strong> Texturizers for control and sunscreen for protection.<br /><br /> <strong>NaturallyCurly Recommends:</strong> Perfect for 2A to 3A hair types.</p>",,/curl-company-beach-spray-curl-activation-mist-5-oz/
Curl Girl Moisture Fix Daily Shine Oil (4.6 oz.),All,http://shop.naturallycurly.com/product_images/w/299/curl-girl-moisture-fix__63584.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/w/299/curl-girl-moisture-fix__63584.jpg,Moisture Fix Daily Shine Oil (4.6 oz.),Curl Girl,"<p>Curl Girl Moisture Fix Daily Shine Oil is the perfect finisher for any hairstyle. With its lightweight formula this shine oil provides a great ""fix"" for frizzy or dry hair. This versatile product can also be used as a 20-minute hair treatment if you want to repair any extra damage or replenish your curls. Enjoy the refreshing scent of this lightweight product and say goodbye to those frizzy hair days! <br /><br /><strong>What it is:</strong> A moisturizing shine oil spray.<br /><br /> <strong>What it does:</strong> Keeps hair shiny and hydrated all day long without feeling greasy or weighing it down. <br /><br /> <strong>Key ingredients:</strong> Hydrating Babassu, smoothing Shea Butter, decadent Tea Tree Oil, and protein-packed Pumpkin Seed. <br /><br /><strong> NaturallyCurly Recommends:&nbsp;</strong>A little goes a long way! Apply no more than 1 to 2 pumps depending on hair length and thickness. Great finisher for any style or if your hair gets rough and dry easily.</p>",,/curl-girl-moisture-fix-daily-shine-oil-4-6-oz/
Curl Junkie Beauticurls Argan & Olive Oil Daily Hair Conditioner (12 oz.),All,http://shop.naturallycurly.com/product_images/j/613/db_file_img_3921_420x420__70698.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/j/613/db_file_img_3921_420x420__70698.jpg,Beauticurls Argan & Olive Oil Daily Hair Conditioner (12 oz.),Curl Junkie,"<p>A detangling, moisturizing daily conditioner infused with hydrating aloe vera and emollient and healing argan, olive, jojoba and virgin coconut oils! Perfect for all hair types.</p>",,/curl-junkie-beauticurls-argan-olive-oil-daily-hair-conditioner-12-oz/
Curl Junkie BeautiCurls Leave-in Hair Conditioner (8 oz.),Straight,http://shop.naturallycurly.com/product_images/c/688/curl-junkie-beauticurls-leave-in-hair-conditioner-8oz__34594.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/c/688/curl-junkie-beauticurls-leave-in-hair-conditioner-8oz__34594.jpg,BeautiCurls Leave-in Hair Conditioner (8 oz.),Curl Junkie,"<p>Curl Junkie BeautiCurls Leave-in Hair Conditioner is a lightweight, glycerin-free leave-in conditioner that uses the most curl-friendly herbal botanicals and emollient butters to add shine to your curls. Excellent for softening, conditioning and detangling your curls and coils!</p> <p>This is the new&nbsp;<strong>slightly revised formula,</strong> which allows for better spreading and combining/layering with other stylers and gels.<br /> <br /> <a href=""http://www.naturallycurly.com/curlreading/curl-products/horsetail-the-mineral-rich-hair-herb"" target=""_blank"">Read more about Horsetail, the mineral rich hair herb!</a></p>",,/curl-junkie-beauticurls-leave-in-hair-conditioner-8-oz/
Curl Junkie Beauticurls Strengthening Hair Conditioner (12 oz.),All,http://shop.naturallycurly.com/product_images/i/361/db_file_img_3917_420x420__91980.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/i/361/db_file_img_3917_420x420__91980.jpg,Beauticurls Strengthening Hair Conditioner (12 oz.),Curl Junkie,"<p>Curl Junkie Beauticurls Strengthening Hair Conditioner has hydrating panthenol and strengthening keratin amino acids help to keep your hair in top condition. This is excellent for hair that does not need a lot of moisture, but needs help with detangling and fuzziness. Restores your hair's bounce and shine. NEW scent -&nbsp;<span>Coconut (same as our Repair me! And Argan and Olive oil conditioners).</span> Best for normal - fine, normal - oily hair types.</p>",,/curl-junkie-beauticurls-strengthening-hair-conditioner-12-oz/
Curl Junkie Coffee-Coco Curl Creme (8 oz.),All,http://shop.naturallycurly.com/product_images/t/438/Curl-Junkie-coffee-coco-curl-cream-8__23983.jpg,Product Image URL: http://shop.naturallycurly.com/product_images/t/438/Curl-Junkie-coffee-coco-curl-cream-8__23983.jpg,Coffee-Coco Curl Creme (8 oz.),Curl Junkie,"<p>Curl Junkie Coffee-Coco Curl Creme combines the moisturizing properties of a leave-in conditioner with the hold of a light styling gel. Adds weight and provides light to medium hold for curls and coils.<br /><br /> This can be your all-in-one product, replacing a leave-in and styling product!</p>",,/curl-junkie-coffee-coco-curl-creme-8-oz/
